feature,importance
end_data,0.2413875
shared_vm,0.111835554
free_area_cache,0.095756195
maj_flt,0.08067736
static_prio,0.070479706
nvcsw,0.06004859
utime,0.055413626
last_interval,0.049836375
exec_vm,0.04874734
total_vm,0.03813
vm_truncate_count,0.03143325
mm_users,0.01959866
fs_excl_counter,0.016608508
gtime,0.015007399
reserved_vm,0.014683841
stime,0.013326119
map_count,0.011919244
nivcsw,0.011005971
prio,0.010963627
state,0.002182532
min_flt,0.00095849886
