accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.9414687752723694,0.9862443208694458,0.1486978828907013,0.9454545378684998,0.9368783235549927,0.996874988079071,0.9998085498809814,0.018199974671006203,0.9954060316085815,0.9983810782432556,0.0010000000474974513
0.9819999933242798,0.9978266954421997,0.05089465156197548,0.9801807403564453,0.9838598966598511,0.9982500076293945,0.9999892711639404,0.011033124290406704,0.9965251684188843,1.0,0.0010000000474974513
0.9877187609672546,0.9986547231674194,0.03638647496700287,0.9866417050361633,0.9888020157814026,0.9980000257492065,0.9999882578849792,0.005530918948352337,0.9968936443328857,0.9991282820701599,0.0010000000474974513
0.9908593893051147,0.9991317987442017,0.027531541883945465,0.9905899167060852,0.9911166429519653,0.9983749985694885,0.9999935030937195,0.003845964092761278,0.9973900318145752,0.9993773102760315,0.0010000000474974513
0.9919687509536743,0.9992752075195312,0.023887816816568375,0.9914385676383972,0.9924929738044739,0.9985625147819519,0.9999985694885254,0.0033091851510107517,0.9973909854888916,0.9997509121894836,0.0010000000474974513
0.9918281435966492,0.9992956519126892,0.023233167827129364,0.9916205406188965,0.992023766040802,0.9984999895095825,0.9999970197677612,0.00630017789080739,0.9970201253890991,1.0,0.0010000000474974513
0.9937031269073486,0.9993678331375122,0.02012838050723076,0.9936200380325317,0.9937754273414612,0.9986249804496765,0.9999988675117493,0.0026496979407966137,0.9972677826881409,1.0,0.0010000000474974513
0.9940624833106995,0.9995040893554688,0.018168602138757706,0.9938715696334839,0.9942445755004883,0.9986249804496765,0.9999993443489075,0.0022184299305081367,0.9975149035453796,0.9997509121894836,0.0010000000474974513
0.9945312738418579,0.9994198083877563,0.017657781019806862,0.9942478537559509,0.9948076605796814,0.9994375109672546,0.9999991059303284,0.0018381535774096847,0.999004602432251,0.9998754858970642,0.0010000000474974513
0.9954687356948853,0.9995045065879822,0.015704886987805367,0.9953715205192566,0.9955583214759827,0.999625027179718,0.9999997615814209,0.0015546686481684446,0.9992533326148987,1.0,0.0010000000474974513
0.9954687356948853,0.9995824694633484,0.01466442458331585,0.9954645037651062,0.9954645037651062,0.999750018119812,0.9999999403953552,0.0008507537422701716,0.9995021224021912,1.0,0.0010000000474974513
0.995843768119812,0.9995743632316589,0.013319584541022778,0.9960881471633911,0.9955896139144897,0.9998124837875366,0.9999993443489075,0.0012271666200831532,1.0,0.9996263980865479,0.0010000000474974513
0.9959531426429749,0.9996816515922546,0.012883155606687069,0.9958717823028564,0.9960275292396545,0.999625027179718,0.9999996423721313,0.001331623992882669,0.9993776679039001,0.9998754858970642,0.0010000000474974513
0.9958281517028809,0.9995977282524109,0.013433591462671757,0.9957156777381897,0.9959337115287781,0.9996874928474426,0.9999998807907104,0.0009379032999277115,0.9995020627975464,0.9998754858970642,0.0010000000474974513
0.9965000152587891,0.9996177554130554,0.011853598989546299,0.9963414669036865,0.996653139591217,0.999625027179718,0.9999992251396179,0.0011887289583683014,0.9996263980865479,0.9996263980865479,0.0010000000474974513
0.9965468645095825,0.9996484518051147,0.011372807435691357,0.9965591430664062,0.9965279698371887,0.9998124837875366,0.9999998211860657,0.0010576805798336864,0.9998754262924194,0.9997509121894836,0.0010000000474974513
